0,1,2,3,4,5
1505476800000,3014.0,3670.0,3689.0,3005.0,59165.60247399997
1505491200000,3665.0,3672.0,3776.9,3455.0,27380.24708379997
1505505600000,3671.9,3697.1,3809.0,3637.5,15639.361219299992
1505520000000,3697.0,3767.5,3799.9,3682.5,6450.963166499996
1505534400000,3767.1,3812.4,3875.0,3730.0,10982.808780099997
1505548800000,3813.6,3660.2,3846.8,3525.0,19070.32032970001
1505563200000,3664.7,3586.1,3665.3,3511.1,19975.95671449999
1505577600000,3586.2,3708.0,3739.0,3574.4,9631.102048840004
1505592000000,3709.6,3681.5,3738.0,3631.5,4640.977561239997
1505606400000,3679.6,3633.1,3680.1,3593.9,5397.665445709996
1505620800000,3632.2,3531.0,3632.5,3531.0,4487.89410407
1505635200000,3531.1,3559.3,3619.2,3465.1,8627.972102860003
1505649600000,3560.7,3676.1,3697.7,3550.5,6145.107289630001
1505664000000,3676.0,3713.2,3782.0,3668.0,8623.9744072
1505678400000,3713.2,3666.6,3758.0,3645.5,3755.92328753
1505692800000,3666.9,3778.6,3819.0,3666.9,6585.223988199999
1505707200000,3774.7,3941.0,3971.9,3758.8,10892.469651469995
1505721600000,3941.1,3941.4,3980.0,3881.0,8801.7465327
1505736000000,3945.4,4019.1,4085.0,3940.0,16778.390523200007
1505750400000,4019.1,4009.1,4029.0,3900.1,8737.23698506
1505764800000,4009.0,4084.4,4119.0,3980.1,7183.625132729995
1505779200000,4084.3,3978.0,4114.0,3930.1,10027.301883099995
1505793600000,3978.0,3904.6,3984.7,3836.2,8028.40871856
1505808000000,3904.6,3988.5,4024.8,3891.0,6535.932746920002
1505822400000,3988.5,4007.0,4030.0,3939.4,6615.453862969996
1505836800000,4007.0,3894.8,4040.0,3870.5,9720.889996610002
1505851200000,3891.5,3892.2,3943.0,3848.8,6821.596210849996
1505865600000,3892.6,3875.0,3930.0,3867.3,3569.7293272300035
1505880000000,3872.1,3946.7,3974.5,3829.0,6993.461624729996
1505894400000,3946.7,3910.1,3952.6,3885.0,2805.45866349
1505908800000,3910.2,4002.7,4049.0,3900.1,9200.453543800002
1505923200000,3997.5,3957.1,4044.9,3940.0,4564.485271359998
